"","doi","ps","reporting","p_value"
"1","10.1016/j.jas.2022.105689","p = 21), e","exact",1e-05
"2","10.1016/j.jas.2022.105689","p = 18), s","exact",18
"3","10.1016/j.jas.2022.105689","p = 12), c","exact",12
"4","10.1016/j.jas.2022.105689","p = 7), pi","exact",7
"5","10.1016/j.jas.2022.105689","p = 4), re","exact",1e-05
"6","10.1016/j.jas.2022.105689","p = 31 and","exact",31
"7","10.1016/j.jas.2022.105689","p = 13) an","exact",13
"8","10.1016/j.jas.2022.105689","p = 10) we","exact",1e-05
"9","10.1016/j.jas.2022.105689","p < 0.0001","inequ",5e-05
"10","10.1016/j.jas.2022.105689","p = 0.0001","exact",1e-04
"11","10.1016/j.jas.2022.105689","p < 0.0001","inequ",5e-05
"12","10.1016/j.jas.2022.105689","p = 0.0330","exact",0.033
"13","10.1016/j.jas.2022.105689","p = 0.0001","exact",1e-04
"14","10.1016/j.jas.2023.105840","p = 0.001)","exact",0.001
"15","10.1016/j.jas.2023.105840","p = 0.242)","exact",0.242
"16","10.1016/j.jas.2023.105840","p = 0.019)","exact",0.019
"17","10.1016/j.jas.2023.105840","p = 0.015)","exact",0.015
"18","10.1016/j.jas.2023.105840","p = 0.01 |","exact",0.01
"19","10.1016/j.jas.2023.105840","p = 0.004)","exact",0.004
"20","10.1016/j.jas.2023.105840","p = 0.01 |","exact",0.01
"21","10.1016/j.jas.2023.105840","p = 0.011)","exact",0.011
"22","10.1016/j.jas.2023.105840","p = 0.01| ","exact",0.01
"23","10.1016/j.jas.2023.105840","p = 0.01),","exact",0.01
"24","10.1016/j.jas.2023.105840","p = 0.001 ","exact",0.001
"25","10.1016/j.jas.2023.105840","p = 0.01) ","exact",0.01
"26","10.1016/j.jas.2023.105826","p = kinder","exact",1e-05
"27","10.1016/j.jas.2023.105827","p = 30 mev","exact",1e-05
"28","10.1016/j.jas.2023.105827","p = 25 mev","exact",1e-05
"29","10.1016/j.jas.2023.105827","p = 45 mev","exact",1e-05
"30","10.1016/j.jas.2023.105828","p = proxim","exact",NA
"31","10.1016/j.jas.2023.105828","p < .001).","inequ",0.001
"32","10.1016/j.jas.2023.105828","p = .039).","exact",0.039
"33","10.1016/j.jas.2023.105828","p < .05) w","inequ",0.05
"34","10.1016/j.jas.2023.105828","p = .020),","exact",0.02
"35","10.1016/j.jas.2023.105828","p < .0001)","inequ",1e-04
"36","10.1016/j.jas.2023.105828","p = .560).","exact",0.56
"37","10.1016/j.jas.2023.105828","p = .096) ","exact",0.096
"38","10.1016/j.jas.2023.105828","p = .025).","exact",0.025
"39","10.1016/j.jas.2023.105828","p < .001).","inequ",0.001
"40","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"41","10.1016/j.jas.2023.105824","p = 0.03) ","exact",0.03
"42","10.1016/j.jas.2023.105824","p = 0.274)","exact",0.274
"43","10.1016/j.jas.2023.105824","p = 0.143)","exact",0.143
"44","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"45","10.1016/j.jas.2023.105824","p = 0.828)","exact",0.828
"46","10.1016/j.jas.2023.105824","p = 0.327)","exact",0.327
"47","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"48","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"49","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"50","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"51","10.1016/j.jas.2023.105824","p = < 0.05","inequ",0.025
"52","10.1016/j.jas.2023.105820","p > 0.08 p","inequ",0.08
"53","10.1016/j.jas.2023.105820","p = 0.001,","exact",0.001
"54","10.1016/j.jas.2023.105820","p < 0.001,","inequ",5e-04
"55","10.1016/j.jas.2023.105820","p < 0.001,","inequ",5e-04
"56","10.1016/j.jas.2023.105820","p = 0.3 p ","exact",0.3
"57","10.1016/j.jas.2023.105820","p = 0.8 kn","exact",0.8
"58","10.1016/j.jas.2023.105820","p = 4.10–8","exact",4.1
"59","10.1016/j.jas.2023.105821","p = 0.375)","exact",0.375
"60","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"61","10.1016/j.jas.2023.105821","p < 0.01).","inequ",0.005
"62","10.1016/j.jas.2023.105821","p = 0.345)","exact",0.345
"63","10.1016/j.jas.2023.105821","p < 0.001)","inequ",5e-04
"64","10.1016/j.jas.2023.105821","p = 0.73),","exact",0.73
"65","10.1016/j.jas.2023.105821","p = 0.46).","exact",0.46
"66","10.1016/j.jas.2023.105821","p < 0.005)","inequ",0.005
"67","10.1016/j.jas.2023.105821","p < 0.001)","inequ",5e-04
"68","10.1016/j.jas.2023.105821","p < 001), ","inequ",1
"69","10.1016/j.jas.2023.105821","p < 0.01),","inequ",0.005
"70","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"71","10.1016/j.jas.2023.105821","p = 0.139)","exact",0.139
"72","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"73","10.1016/j.jas.2023.105821","p = 0.0103","exact",0.0103
"74","10.1016/j.jas.2023.105821","p < 0.01).","inequ",0.005
"75","10.1016/j.jas.2023.105821","p < 0.000)","inequ",0
"76","10.1016/j.jas.2023.105821","p = 0.081)","exact",0.081
"77","10.1016/j.jas.2023.105816","p = 0.85),","exact",0.85
"78","10.1016/j.jas.2023.105816","p = 0.046)","exact",0.046
"79","10.1016/j.jas.2023.105816","p < 0.001)","inequ",5e-04
"80","10.1016/j.jas.2023.105815","p = 302 kg","exact",302
"81","10.1016/j.jas.2023.105815","p = 522.5 ","exact",522.5
"82","10.1016/j.jas.2023.105804","p < 0.05) ","inequ",0.025
"83","10.1016/j.jas.2023.105779","p= capra ","exact",NA
"84","10.1016/j.jas.2023.105779","p > 0.007)","inequ",0.007
"85","10.1016/j.jas.2023.105779","p = 0.136)","exact",0.136
"86","10.1016/j.jas.2023.105779","p = 0.002)","exact",0.002
"87","10.1016/j.jas.2023.105771","p = rows o","exact",NA
"88","10.1016/j.jas.2023.105771","p = 0.007)","exact",0.007
"89","10.1016/j.jas.2023.105771","p < 0.001)","inequ",5e-04
"90","10.1016/j.jas.2023.105771","p < 0.001)","inequ",5e-04
"91","10.1016/j.jas.2023.105775","p = polygo","exact",NA
"92","10.1016/j.jas.2023.105775","p < 0.05).","inequ",0.025
"93","10.1016/j.jas.2023.105776","p = abdus ","exact",NA
"94","10.1016/j.jas.2023.105769","p < 0.05, ","inequ",0.025
"95","10.1016/j.jas.2023.105769","p < 0.05, ","inequ",0.025
"96","10.1016/j.jas.2023.105769","p = 0.05) ","exact",0.05
"97","10.1016/j.jas.2023.105754","p < 0.05) ","inequ",0.025
"98","10.1016/j.jas.2023.105754","p = 0.02).","exact",0.02
"99","10.1016/j.jas.2023.105754","p = 0.04).","exact",0.04
"100","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"101","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"102","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"103","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"104","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"105","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"106","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"107","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"108","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"109","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"110","10.1016/j.jas.2023.105752","p = 0.117)","exact",0.117
"111","10.1016/j.jas.2023.105752","p = 0.14).","exact",0.14
"112","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"113","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"114","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"115","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"116","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"117","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"118","10.1016/j.jas.2023.105752","p = 0.0002","exact",2e-04
"119","10.1016/j.jas.2023.105752","p = 0.0029","exact",0.0029
"120","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"121","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"122","10.1016/j.jas.2023.105752","p = 0.0005","exact",5e-04
"123","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"124","10.1016/j.jas.2023.105752","p = 0.038)","exact",0.038
"125","10.1016/j.jas.2023.105752","p = 0.224 ","exact",0.224
"126","10.1016/j.jas.2023.105752","p = 0.926,","exact",0.926
"127","10.1016/j.jas.2023.105752","p = 0.038 ","exact",0.038
"128","10.1016/j.jas.2023.105752","p = 0.017,","exact",0.017
"129","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"130","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"131","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"132","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"133","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"134","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"135","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"136","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"137","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"138","10.1016/j.jas.2023.105752","p = 0.005)","exact",0.005
"139","10.1016/j.jas.2023.105752","p < 0000.1","inequ",0.1
"140","10.1016/j.jas.2023.105752","p = 0.002)","exact",0.002
"141","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"142","10.1016/j.jas.2023.105752","p < 0.0001","inequ",5e-05
"143","10.1016/j.jas.2023.105752","p = 0.0006","exact",6e-04
"144","10.1016/j.jas.2023.105755","p < 0.05) ","inequ",0.025
"145","10.1016/j.jas.2023.105755","p = 0.225)","exact",0.225
"146","10.1016/j.jas.2023.105755","p = 0.11; ","exact",0.11
"147","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"148","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"149","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"150","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"151","10.1016/j.jas.2023.105755","p < 0.001,","inequ",5e-04
"152","10.1016/j.jas.2023.105755","p = 0.002;","exact",0.002
"153","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"154","10.1016/j.jas.2023.105755","p < 0.001;","inequ",5e-04
"155","10.1016/j.jas.2023.105755","p < 0.001,","inequ",5e-04
"156","10.1016/j.jas.2023.105741","p = 0.6685","exact",0.6685
"157","10.1016/j.jas.2023.105741","p = 0.2847","exact",0.2847
"158","10.1016/j.jas.2023.105741","p = 0.0793","exact",0.0793
"159","10.1016/j.jas.2023.105741","p = 0.0080","exact",0.008
"160","10.1016/j.jas.2023.105741","p = 0.0661","exact",0.0661
"161","10.1016/j.jas.2023.105741","p = 0.0993","exact",0.0993
"162","10.1016/j.jas.2023.105741","p = 0.4339","exact",0.4339
"163","10.1016/j.jas.2023.105741","p = 0.1140","exact",0.114
"164","10.1016/j.jas.2023.105741","p = 0.2457","exact",0.2457
"165","10.1016/j.jas.2023.105741","p = 0.3450","exact",0.345
"166","10.1016/j.jas.2023.105741","p = 0.1541","exact",0.1541
"167","10.1016/j.jas.2023.105741","p = 0.7492","exact",0.7492
"168","10.1016/j.jas.2023.105741","p = 0.3641","exact",0.3641
"169","10.1016/j.jas.2023.105741","p = 0.9756","exact",0.9756
"170","10.1016/j.jas.2023.105741","p = 0.3456","exact",0.3456
"171","10.1016/j.jas.2023.105741","p = 0.0490","exact",0.049
"172","10.1016/j.jas.2023.105741","p = 0.1049","exact",0.1049
"173","10.1016/j.jas.2023.105741","p = 0.4797","exact",0.4797
"174","10.1016/j.jas.2023.105741","p = 0.9045","exact",0.9045
"175","10.1016/j.jas.2023.105741","p = 0.3456","exact",0.3456
"176","10.1016/j.jas.2023.105741","p = 0.3824","exact",0.3824
"177","10.1016/j.jas.2023.105741","p = 0.3179","exact",0.3179
"178","10.1016/j.jas.2023.105741","p = 0.4986","exact",0.4986
"179","10.1016/j.jas.2023.105741","p = 0.9805","exact",0.9805
"180","10.1016/j.jas.2023.105741","p = 0.416)","exact",0.416
"181","10.1016/j.jas.2023.105741","p = 0.006,","exact",0.006
"182","10.1016/j.jas.2023.105741","p = 0.001)","exact",0.001
"183","10.1016/j.jas.2023.105724","p < 0.01. ","inequ",0.005
"184","10.1016/j.jas.2023.105724","p < 0.001)","inequ",5e-04
"185","10.1016/j.jas.2023.105724","p < 0.01, ","inequ",0.005
"186","10.1016/j.jas.2023.105724","p < 0.01, ","inequ",0.005
"187","10.1016/j.jas.2023.105729","p < 0.001,","inequ",5e-04
"188","10.1016/j.jas.2023.105726","p = 0.002,","exact",0.002
"189","10.1016/j.jas.2023.105726","p = 0.001,","exact",0.001
"190","10.1016/j.jas.2023.105726","p = 0.96),","exact",0.96
"191","10.1016/j.jas.2023.105726","p = 0.001)","exact",0.001
"192","10.1016/j.jas.2023.105726","p < 0.001)","inequ",5e-04
"193","10.1016/j.jas.2023.105726","p < 0.001)","inequ",5e-04
"194","10.1016/j.jas.2023.105726","p < 0.05) ","inequ",0.025
"195","10.1016/j.jas.2023.105726","p = 0.125 ","exact",0.125
"196","10.1016/j.jas.2023.105726","p = 0.129 ","exact",0.129
"197","10.1016/j.jas.2023.105726","p = 0.046)","exact",0.046
"198","10.1016/j.jas.2023.105726","p = 0.052)","exact",0.052
"199","10.1016/j.jas.2023.105726","p = 0.084)","exact",0.084
"200","10.1016/j.jas.2023.105726","p < 0.05) ","inequ",0.025
"201","10.1016/j.jas.2023.105726","p < 0.05) ","inequ",0.025
"202","10.1016/j.jas.2023.105726","p < 0.05) ","inequ",0.025
"203","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"204","10.1016/j.jas.2022.105709","p = 0.001)","exact",0.001
"205","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"206","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"207","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"208","10.1016/j.jas.2022.105709","p = 0.001)","exact",0.001
"209","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"210","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"211","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"212","10.1016/j.jas.2022.105709","p = 1.000)","exact",1
"213","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"214","10.1016/j.jas.2022.105709","p < 0.001)","inequ",5e-04
"215","10.1016/j.jas.2022.105709","p = 0.047)","exact",0.047
"216","10.1016/j.jas.2022.105709","p = 0.101)","exact",0.101
"217","10.1016/j.jas.2022.105709","p = 0.006)","exact",0.006
"218","10.1016/j.jas.2022.105709","p = 0.004)","exact",0.004
"219","10.1016/j.jas.2022.105709","p = 0.010)","exact",0.01
"220","10.1016/j.jas.2022.105709","p = 0.017)","exact",0.017
"221","10.1016/j.jas.2022.105709","p = 0.016)","exact",0.016
"222","10.1016/j.jas.2022.105703","p = 0.69, ","exact",0.69
"223","10.1016/j.jas.2022.105703","p = 0.88e-","exact",1e-05
"224","10.1016/j.jas.2022.105703","p = 1). si","exact",1
"225","10.1016/j.jas.2022.105703","p = 0.43).","exact",0.43
"226","10.1016/j.jas.2022.105703","p = 1; stu","exact",1
"227","10.1016/j.jas.2022.105703","p = 0.17).","exact",0.17
"228","10.1016/j.jas.2022.105703","p = 1), el","exact",1e-05
"229","10.1016/j.jas.2022.105703","p = 1), or","exact",1
"230","10.1016/j.jas.2022.105703","p = 1). 3.","exact",1
"231","10.1016/j.jas.2022.105703","p = 0.69, ","exact",0.69
"232","10.1016/j.jas.2022.105703","p = 0.81, ","exact",0.81
"233","10.1016/j.jas.2022.105703","p = 8.8e-9","exact",1e-05
"234","10.1016/j.jas.2022.105703","p = 2.3e-7","exact",1e-05
"235","10.1016/j.jas.2022.105703","p = 0.047)","exact",0.047
"236","10.1016/j.jas.2022.105703","p = 0.003)","exact",0.003
"237","10.1016/j.jas.2022.105703","p = 0.0005","exact",5e-04
"238","10.1016/j.jas.2022.105703","p = 0.0005","exact",5e-04
"239","10.1016/j.jas.2022.105703","p = 0.051)","exact",0.051
"240","10.1016/j.jas.2022.105703","p = 0.083)","exact",0.083
"241","10.1016/j.jas.2022.105703","p = 0.079)","exact",0.079
"242","10.1016/j.jas.2022.105703","p = 0.95).","exact",0.95
"243","10.1016/j.jas.2022.105703","p = 0.91).","exact",0.91
"244","10.1016/j.jas.2022.105703","p = 0.0052","exact",0.0052
"245","10.1016/j.jas.2022.105703","p = 0.0006","exact",6e-04
"246","10.1016/j.jas.2022.105703","p = 0.12),","exact",0.12
"247","10.1016/j.jas.2022.105703","p = 0.34).","exact",0.34
"248","10.1016/j.jas.2022.105703","p = 0.002;","exact",0.002
"249","10.1016/j.jas.2022.105703","p = 0.51; ","exact",0.51
"250","10.1016/j.jas.2022.105703","p = 0.36).","exact",0.36
"251","10.1016/j.jas.2022.105703","p = 0.24).","exact",0.24
"252","10.1016/j.jas.2022.105703","p = 0.0003","exact",3e-04
"253","10.1016/j.jas.2022.105703","p = 0.004)","exact",0.004
"254","10.1016/j.jas.2022.105703","p = 0.08).","exact",0.08
"255","10.1016/j.jas.2022.105703","p = 0.00.0","exact",0
"256","10.1016/j.jas.2022.105703","p = 0.004;","exact",0.004
"257","10.1016/j.jas.2022.105703","p = 0.06).","exact",0.06
"258","10.1016/j.jas.2022.105690","p = 2363, ","exact",2363
"259","10.1016/j.jas.2022.105690","p = 31; mn","exact",31
"260","10.1016/j.jas.2022.105693","p < 0.001)","inequ",5e-04
"261","10.1016/j.jas.2022.105693","p = 0.006)","exact",0.006
"262","10.1016/j.jas.2022.105693","p < 0.001)","inequ",5e-04
"263","10.1016/j.jas.2022.105693","p < 0.001)","inequ",5e-04
"264","10.1016/j.jas.2022.105693","p < 0.001)","inequ",5e-04
"265","10.1016/j.jas.2022.105693","p < 0.001)","inequ",5e-04
"266","10.1016/j.jas.2022.105693","p = 0.004 ","exact",0.004
"267","10.1016/j.jas.2022.105693","p = 0.003 ","exact",0.003
"268","10.1016/j.jas.2022.105693","p < 0.001 ","inequ",5e-04
"269","10.1016/j.jas.2022.105693","p = 0.129;","exact",0.129
"270","10.1016/j.jas.2022.105693","p = 0.398)","exact",0.398
"271","10.1016/j.jas.2022.105693","p = 0.015 ","exact",0.015
"272","10.1016/j.jas.2022.105693","p = 0.443)","exact",0.443
"273","10.1016/j.jas.2022.105693","p = 0.842)","exact",0.842
"274","10.1016/j.jas.2022.105693","p = 0.027)","exact",0.027
"275","10.1016/j.jas.2022.105691","p = 0.000)","exact",0
"276","10.1016/j.jas.2022.105691","p = 0.950)","exact",0.95
"277","10.1016/j.jas.2022.105691","p = 0.827)","exact",0.827
"278","10.1016/j.jas.2022.105666","p < 0.05) ","inequ",0.025
"279","10.1016/j.jas.2022.105656","p < 0.05).","inequ",0.025
"280","10.1016/j.jas.2022.105656","p < 0.05).","inequ",0.025
"281","10.1016/j.jas.2022.105656","p < 0.05 a","inequ",0.025
"282","10.1016/j.jas.2022.105656","p < 0.05) ","inequ",0.025
"283","10.1016/j.jas.2022.105656","p < 0.05),","inequ",0.025
"284","10.1016/j.jas.2022.105656","p < 0.05),","inequ",0.025
"285","10.1016/j.jas.2022.105656","p < 0.05) ","inequ",0.025
"286","10.1016/j.jas.2022.105655","p > 0.05).","inequ",0.05
"287","10.1016/j.jas.2022.105647","p = 0.819)","exact",0.819
"288","10.1016/j.jas.2022.105647","p = 0.142)","exact",0.142
"289","10.1016/j.jas.2022.105647","p = 0.014)","exact",0.014
"290","10.1016/j.jas.2022.105647","p = 0.006)","exact",0.006
"291","10.1016/j.jas.2022.105644","p < 0.01),","inequ",0.005
"292","10.1016/j.jas.2022.105644","p < 0.01, ","inequ",0.005
"293","10.1016/j.jas.2022.105644","p < 0.01),","inequ",0.005
"294","10.1016/j.jas.2022.105644","p < 0.01, ","inequ",0.005
"295","10.1016/j.jas.2022.105644","p < 0.01) ","inequ",0.005
"296","10.1016/j.jas.2022.105644","p < 0.01).","inequ",0.005
"297","10.1016/j.jas.2022.105644","p = 0.49) ","exact",0.49
"298","10.1016/j.jas.2022.105644","p = 0.34, ","exact",0.34
"299","10.1016/j.jas.2022.105644","p < 0.05) ","inequ",0.025
"300","10.1016/j.jas.2022.105638","p < 0.05),","inequ",0.025
"301","10.1016/j.jas.2022.105638","p < 0.05),","inequ",0.025
"302","10.1016/j.jas.2022.105637","p = 0.576)","exact",0.576
"303","10.1016/j.jas.2022.105637","p = 0.039)","exact",0.039
"304","10.1016/j.jas.2022.105637","p = 0.576)","exact",0.576
"305","10.1016/j.jas.2022.105637","p = 0.039)","exact",0.039
"306","10.1016/j.jas.2022.105637","p = 0.227)","exact",0.227
"307","10.1016/j.jas.2022.105637","p = 0.853)","exact",0.853
"308","10.1016/j.jas.2022.105637","p = 0.038)","exact",0.038
"309","10.1016/j.jas.2022.105637","p = 0.056)","exact",0.056
"310","10.1016/j.jas.2022.105627","p = 59), p","exact",59
"311","10.1016/j.jas.2022.105627","p = 26), d","exact",26
"312","10.1016/j.jas.2022.105627","p = 11), a","exact",11
"313","10.1016/j.jas.2022.105627","p = 6). th","exact",6
"314","10.1016/j.jas.2022.105627","p = 24) an","exact",24
"315","10.1016/j.jas.2022.105627","p = 14), w","exact",14
"316","10.1016/j.jas.2022.105557","p = perime","exact",1e-05
"317","10.1016/j.jas.2022.105624","p < 0.01, ","inequ",0.005
"318","10.1016/j.jas.2022.105624","p = 0.038 ","exact",0.038
"319","10.1016/j.jas.2022.105624","p < 0.001)","inequ",5e-04
"320","10.1016/j.jas.2022.105624","p < 0.001)","inequ",5e-04
"321","10.1016/j.jas.2022.105611","p > 0.0001","inequ",1e-04
"322","10.1016/j.jas.2022.105611","p < 0.0001","inequ",5e-05
"323","10.1016/j.jas.2022.105611","p = 0.0619","exact",0.0619
"324","10.1016/j.jas.2022.105611","p < 0.0001","inequ",5e-05
"325","10.1016/j.jas.2022.105613","p = 0.95) ","exact",0.95
"326","10.1016/j.jas.2022.105613","p = 0.1 (m","exact",0.1
"327","10.1016/j.jas.2022.105613","p = 0.95) ","exact",0.95
"328","10.1016/j.jas.2022.105613","p = 0.1 (m","exact",0.1
"329","10.1016/j.jas.2022.105613","p = 0.0065","exact",0.0065
"330","10.1016/j.jas.2022.105613","p = 0.09).","exact",0.09
"331","10.1016/j.jas.2022.105613","p = 0.09) ","exact",0.09
"332","10.1016/j.jas.2022.105613","p = 1) acc","exact",1
"333","10.1016/j.jas.2022.105600","p = number","exact",1e-05
"334","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"335","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"336","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"337","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"338","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"339","10.1016/j.jas.2022.105595","p = < 0.00","inequ",0
"340","10.1016/j.jas.2022.105599","p = 0.001)","exact",0.001
"341","10.1016/j.jas.2022.105593","p < 0.05).","inequ",0.025
"342","10.1016/j.jas.2022.105593","p < 0.05).","inequ",0.025
"343","10.1016/j.jas.2022.105593","p < 0.05).","inequ",0.025
"344","10.1016/j.jas.2022.105592","p = 0.54),","exact",0.54
"345","10.1016/j.jas.2022.105592","p = <0.001","inequ",5e-04
"346","10.1016/j.jas.2022.105592","p < 0.05) ","inequ",0.025
"347","10.1016/j.jas.2022.105580","p < 0.05) ","inequ",0.025
"348","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"349","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"350","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"351","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"352","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"353","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"354","10.1016/j.jas.2022.105580","p = 0.038 ","exact",0.038
"355","10.1016/j.jas.2022.105580","p = 0.067 ","exact",0.067
"356","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"357","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"358","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"359","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"360","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"361","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"362","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"363","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"364","10.1016/j.jas.2022.105580","p = 0.141 ","exact",0.141
"365","10.1016/j.jas.2022.105580","p = 0.4 al","exact",0.4
"366","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"367","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"368","10.1016/j.jas.2022.105580","p < 0.05) ","inequ",0.025
"369","10.1016/j.jas.2022.105580","p < 0.05) ","inequ",0.025
"370","10.1016/j.jas.2022.105580","p = 0.261,","exact",0.261
"371","10.1016/j.jas.2022.105580","p = 0.183)","exact",0.183
"372","10.1016/j.jas.2022.105580","p = 0.001,","exact",0.001
"373","10.1016/j.jas.2022.105580","p = 0.001 ","exact",0.001
"374","10.1016/j.jas.2022.105580","p = 0.001)","exact",0.001
"375","10.1016/j.jas.2022.105580","p = 0.001,","exact",0.001
"376","10.1016/j.jas.2022.105580","p = 0.002)","exact",0.002
"377","10.1016/j.jas.2022.105580","p < 0.001)","inequ",5e-04
"378","10.1016/j.jas.2022.105578","p = 0.011,","exact",0.011
"379","10.1016/j.jas.2022.105578","p = 0.017,","exact",0.017
"380","10.1016/j.jas.2022.105578","p = 0.283,","exact",0.283
"381","10.1016/j.jas.2022.105575","p = 37.52.","exact",37.52
"382","10.1016/j.jas.2022.105575","p = 40.26.","exact",40.26
"383","10.1016/j.jas.2022.105554","p < 0.05. ","inequ",0.025
"384","10.1016/j.jas.2022.105554","p < 0.05. ","inequ",0.025
"385","10.1016/j.jas.2022.105556","p = 0.000)","exact",0
"386","10.1016/j.jas.2022.105556","p = 0.000)","exact",0
"387","10.1016/j.jas.2022.105551","p < 0.001;","inequ",5e-04
"388","10.1016/j.jas.2022.105551","p < 0.001;","inequ",5e-04
"389","10.1016/j.jas.2022.105551","p < 0.001)","inequ",5e-04
"390","10.1016/j.jas.2022.105551","p = 0.03) ","exact",0.03
"391","10.1016/j.jas.2022.105549","p = 0.435,","exact",0.435
"392","10.1016/j.jas.2021.105533","p < 0.0000","inequ",0
"393","10.1016/j.jas.2021.105533","p = 0.0967","exact",0.0967
"394","10.1016/j.jas.2021.105474","p = chalco","exact",NA
"395","10.1016/j.jas.2021.105474","p = sphale","exact",1e-05
"396","10.1016/j.jas.2021.105474","p = chalco","exact",NA
"397","10.1016/j.jas.2021.105474","p = sphale","exact",1e-05
"398","10.1016/j.jas.2021.105518","p < 0.0001","inequ",5e-05
"399","10.1016/j.jas.2021.105518","p = 0.0181","exact",0.0181
"400","10.1016/j.jas.2021.105518","p = 0.0180","exact",0.018
"401","10.1016/j.jas.2021.105518","p < 0.0001","inequ",5e-05
"402","10.1016/j.jas.2021.105518","p = 0.0125","exact",0.0125
"403","10.1016/j.jas.2021.105518","p = 0.0161","exact",0.0161
"404","10.1016/j.jas.2021.105518","p = 0.4238","exact",0.4238
